,INITIAL,ShopGET,HomeGET,$
INITIAL*,0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0)
ShopGET,0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0)
HomeGET,0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0)
